timestamp,initial_price,final_price,tick_count,max_gap,volume_sum,future_return,target,label_source,label_threshold,label_version
2025-06-27 12:15:00,106949.4,107171.9,15,60.0,48.685641000000004,0.0020804230785773266,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-04-21 17:00:00,75732.9,75539.0,15,60.0,244.111886,-0.002560313945458204,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-06 21:30:00,68021.9,68231.2,15,60.0,61.113352,0.003076950217503478,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-11-13 08:15:00,103452.3,103718.0,15,60.0,96.411908,0.0025683334251630414,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-11-19 16:15:00,90128.6,89690.2,15,60.0,194.713133,-0.004864160765839077,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-02-11 21:00:00,67490.3,67689.8,15,60.0,75.327237,0.002955980340878571,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-02-02 16:00:00,78831.3,79069.2,15,60.0,296.93467,0.0030178368236980888,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-02-11 05:15:00,67782.8,67583.1,15,60.0,61.717015,-0.0029461751358750912,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-06-10 15:15:00,61870.2,62262.4,15,60.0,204.390434,0.006339077617334324,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-14 01:00:00,114944.5,114683.5,15,60.0,158.368266,-0.002270661058162833,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-22 23:15:00,68300.4,68102.7,15,60.0,85.563946,-0.0028945657712106253,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-09 11:15:00,122255.6,122668.2,15,60.0,103.463598,0.003374896528257093,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-24 00:00:00,71072.7,70782.0,15,60.0,113.163697,-0.0040901780852562655,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-11-06 05:30:00,103521.0,103268.1,15,60.0,93.08477,-0.0024429825832438996,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-06-04 02:00:00,62119.9,62397.7,15,60.0,1029.302552,0.0044719968963245465,1.0,bybit_spot_1m_ohlcv,0.002,v1
2026-04-14 07:30:00,74657.9,74501.4,15,60.0,155.359468,-0.0020962282625147225,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-06-06 14:45:00,60940.6,60792.9,15,60.0,68.78712,-0.0024236715752715705,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-28 01:30:00,114175.6,114456.4,15,60.0,136.627032,0.002459369602611993,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-05-12 04:15:00,104127.6,103903.5,15,60.0,58.258858000000004,-0.0021521671487675087,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-01 19:00:00,66301.0,66068.0,15,60.0,94.50980200000001,-0.0035142758027781854,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-04-29 14:00:00,94634.1,94896.6,15,60.0,172.463832,0.0027738415645100147,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-12-14 10:00:00,90025.8,89809.0,15,60.0,39.660573,-0.0024081985386411506,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-11-24 16:45:00,87484.8,87170.6,15,60.0,154.154076,-0.0035914810344196187,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-11-21 12:15:00,82120.8,80954.1,15,60.0,842.343518,-0.014207119268199809,0.0,bybit_spot_1m_ohlcv,0.002,v1
2026-03-24 17:30:00,69216.6,68934.8,15,60.0,200.279883,-0.0040712776992802135,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-12-22 17:15:00,89155.0,89340.7,15,60.0,127.170231,0.002082889350008356,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-05-17 09:00:00,103430.0,103175.7,15,60.0,130.795482,-0.002458667697959977,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-10-16 16:00:00,108342.6,108568.7,15,60.0,335.186887,0.0020868984129971883,1.0,bybit_spot_1m_ohlcv,0.002,v1
2025-12-19 17:15:00,88203.4,87615.7,15,60.0,135.663788,-0.0066630084554562576,0.0,bybit_spot_1m_ohlcv,0.002,v1
2025-06-17 00:45:00,106818.8,107243.5,15,60.0,122.46602899999999,0.003975891884200095,1.0,bybit_spot_1m_ohlcv,0.002,v1
